ISIN;Name;Anlageklasse;Währung;Gewichtung;Sektor;Land
JP3866800000;PANASONIC HOLDINGS CORP;EQUITY;JPY;0,001434602;Nicht-Basiskonsumgüter;Japan
JP3420600003;SEKISUI HOUSE LTD JPY50;EQUITY;JPY;0,001418105;Nicht-Basiskonsumgüter;Japan
JP3639650005;PAN PACIFIC INTERNATIONAL HO;EQUITY;JPY;0,001272436;Nicht-Basiskonsumgüter;Japan
JP3967200001;RAKUTEN GROUP INC;EQUITY;JPY;0,001231184;Nicht-Basiskonsumgüter;Japan
JP3343200006;SANRIO CO LTD;EQUITY;JPY;0,001228541;Nicht-Basiskonsumgüter;Japan
GB0006776081;PEARSON PLC;EQUITY;GBP;0,001219049;Nicht-Basiskonsumgüter;Großbritannien
SE0012673267;EVOLUTION AB;EQUITY;SEK;0,001160842;Nicht-Basiskonsumgüter;Schweden
JP3976300008;RYOHIN KEIKAKU CO LTD;EQUITY;JPY;0,001081339;Nicht-Basiskonsumgüter;Japan
JP3358000002;SHIMANO INC  JPY50;EQUITY;JPY;0,00107895;Nicht-Basiskonsumgüter;Japan
AU0000219529;LOTTERY CORP LTD/THE;EQUITY;AUD;0,001020544;Nicht-Basiskonsumgüter;Australien
JP3814800003;SUBARU CORP;EQUITY;JPY;0,000977137;Nicht-Basiskonsumgüter;Japan
SE0000106270;HENNES & MAURITZ AB-B SHS;EQUITY;SEK;0,000963141;Nicht-Basiskonsumgüter;Schweden
LR0008862868;ROYAL CARIBBEAN CRUISES LTD;EQUITY;USD;0,00083703;Nicht-Basiskonsumgüter;USA
AU000000JBH7;JB HI-FI LTD;EQUITY;AUD;0,000817096;Nicht-Basiskonsumgüter;Australien
DE000PAG9113;DR ING HC F PORSCHE AG;EQUITY;EUR;0,000791402;Nicht-Basiskonsumgüter;Deutschland
GB00B1KJJ408;WHITBREAD PLC;EQUITY;GBP;0,000763074;Nicht-Basiskonsumgüter;Großbritannien
KYG7800X1079;SANDS CHINA LTD;EQUITY;HKD;0,000728393;Nicht-Basiskonsumgüter;Hong Kong
JP3137200006;ISUZU MOTORS LTD;EQUITY;JPY;0,000704905;Nicht-Basiskonsumgüter;Japan
JP3756100008;NITORI HOLDINGS CO LTD;EQUITY;JPY;0,000693723;Nicht-Basiskonsumgüter;Japan
JP3894900004;ISETAN MITSUKOSHI HOLDINGS;EQUITY;JPY;0,000671663;Nicht-Basiskonsumgüter;Japan
DE0005190037;BAYERISCHE MOTOREN WERKE-PFD;EQUITY;EUR;0,000642287;Nicht-Basiskonsumgüter;Deutschland
JP3944130008;USS CO LTD;EQUITY;JPY;0,000631371;Nicht-Basiskonsumgüter;Japan
JP3409800004;SUMITOMO FORESTRY  Y50;EQUITY;JPY;0,000536496;Nicht-Basiskonsumgüter;Japan
JP3738600000;NITERRA CO LTD;EQUITY;JPY;0,000519402;Nicht-Basiskonsumgüter;Japan
HK0027032686;GALAXY ENTERTAINMENT GROUP;EQUITY;HKD;0,000510791;Nicht-Basiskonsumgüter;Hong Kong
JP3672400003;NISSAN MOTOR CO LTD;EQUITY;JPY;0,000510459;Nicht-Basiskonsumgüter;Japan
JP3326410002;SANKYO CO LTD  NPV;EQUITY;JPY;0,000508061;Nicht-Basiskonsumgüter;Japan
JP3173540000;OPEN HOUSE GROUP CO LTD;EQUITY;JPY;0,000484855;Nicht-Basiskonsumgüter;Japan
JP3399310006;ZOZO INC;EQUITY;JPY;0,000480819;Nicht-Basiskonsumgüter;Japan
JP3768600003;HASEKO CORPORATION;EQUITY;JPY;0,000474537;Nicht-Basiskonsumgüter;Japan
KYG211461085;CHOW TAI FOOK;EQUITY;HKD;0,000472248;Nicht-Basiskonsumgüter;Hong Kong
IT0003874101;PRADA S.P.A.;EQUITY;HKD;0,000421694;Nicht-Basiskonsumgüter;Italien
SGXE21576413;GENTING SINGAPOUR LTD;EQUITY;SGD;0,000417678;Nicht-Basiskonsumgüter;Singapur
BE0974259880;D IETEREN GROUP;EQUITY;EUR;0,000394426;Nicht-Basiskonsumgüter;Belgien
